,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[0],-2.217,1.174,-4.437,-0.02,0.007,0.007,26845.0,14450.0,26788.0,6728.0,1.0
mu_movie[1],-2.832,1.188,-5.035,-0.575,0.008,0.006,23277.0,16709.0,23233.0,6685.0,1.0
mu_movie[2],-1.701,1.213,-3.901,0.643,0.008,0.008,25878.0,11179.0,25813.0,6791.0,1.0
mu_movie[3],-6.516,1.372,-9.109,-3.926,0.009,0.007,24510.0,21883.0,24525.0,6552.0,1.0
mu_movie[4],0.115,1.426,-2.687,2.694,0.009,0.017,27099.0,3685.0,27114.0,7030.0,1.0
mu_movie[5],-5.841,0.992,-7.708,-3.978,0.006,0.005,24326.0,24201.0,24357.0,7162.0,1.0
mu_movie[6],-0.382,1.215,-2.7,1.885,0.008,0.014,24108.0,3939.0,24116.0,6830.0,1.0
mu_movie[7],-0.614,1.178,-2.851,1.54,0.008,0.012,19933.0,4954.0,19906.0,6834.0,1.0
mu_movie[8],-6.9,1.384,-9.517,-4.366,0.009,0.007,23978.0,20610.0,23968.0,6511.0,1.0
mu_movie[9],-3.374,1.045,-5.297,-1.366,0.007,0.005,24662.0,18085.0,24724.0,7256.0,1.0
mu_movie[10],1.581,1.115,-0.474,3.711,0.007,0.008,23959.0,10186.0,23929.0,6743.0,1.0
mu_movie[11],-5.409,1.115,-7.505,-3.325,0.007,0.006,22450.0,20357.0,22450.0,7293.0,1.0
mu_movie[12],-2.832,1.332,-5.284,-0.337,0.008,0.008,25858.0,14098.0,25794.0,6240.0,1.0
mu_movie[13],-5.178,1.21,-7.5,-2.96,0.008,0.006,23541.0,19845.0,23495.0,6760.0,1.0
mu_movie[14],-3.515,1.111,-5.561,-1.346,0.007,0.006,26774.0,19767.0,26789.0,6755.0,1.0
mu_movie[15],-1.481,1.795,-4.789,1.939,0.011,0.015,26694.0,7003.0,26697.0,6991.0,1.0
mu_movie[16],-7.064,1.227,-9.34,-4.78,0.008,0.006,22261.0,19921.0,22264.0,6546.0,1.0
mu_movie[17],-6.411,1.342,-8.979,-3.945,0.009,0.006,24464.0,22072.0,24468.0,7314.0,1.0
mu_movie[18],-1.141,1.547,-4.017,1.797,0.01,0.014,24381.0,6274.0,24453.0,6954.0,1.0
mu_movie[19],-0.006,1.56,-2.822,2.972,0.01,0.019,24182.0,3270.0,24096.0,6922.0,1.0
mu_movie[20],0.292,1.164,-1.819,2.521,0.007,0.014,26758.0,3385.0,26807.0,6309.0,1.0
mu_movie[21],-3.929,1.016,-5.844,-2.043,0.006,0.005,26493.0,22464.0,26476.0,6703.0,1.0
mu_movie[22],-7.293,1.142,-9.504,-5.227,0.007,0.005,28795.0,26825.0,28810.0,6388.0,1.0
mu_movie[23],-6.444,1.2,-8.663,-4.18,0.007,0.006,25702.0,22623.0,25741.0,7073.0,1.0
mu_movie[24],-2.25,1.1,-4.251,-0.147,0.007,0.006,25102.0,14343.0,25076.0,6476.0,1.0
mu_movie[25],-0.451,1.388,-3.092,2.104,0.009,0.016,25994.0,3736.0,26022.0,6695.0,1.0
mu_movie[26],-4.378,1.095,-6.41,-2.326,0.007,0.005,27567.0,23243.0,27513.0,6509.0,1.0
mu_movie[27],0.532,1.376,-2.11,3.086,0.009,0.016,25759.0,3909.0,25925.0,6529.0,1.0
mu_movie[28],-0.227,1.33,-2.72,2.238,0.008,0.016,25755.0,3352.0,25874.0,6543.0,1.0
mu_movie[29],-3.819,0.96,-5.544,-1.95,0.006,0.005,23964.0,20193.0,23977.0,6923.0,1.0
mu_movie[30],-4.337,1.229,-6.728,-2.134,0.008,0.006,25228.0,20893.0,25186.0,6136.0,1.0
mu_movie[31],1.662,1.762,-1.687,4.986,0.011,0.014,25845.0,7400.0,25835.0,6729.0,1.0
mu_movie[32],-0.493,1.141,-2.68,1.584,0.007,0.012,29280.0,4418.0,29182.0,6918.0,1.0
mu_movie[33],-5.161,1.148,-7.349,-3.039,0.007,0.006,23667.0,20183.0,23686.0,6939.0,1.0
mu_movie[34],-2.362,1.14,-4.382,-0.106,0.007,0.006,24206.0,15506.0,24149.0,7428.0,1.0
mu_movie[35],-2.497,1.295,-5.003,-0.187,0.008,0.007,26277.0,14929.0,26226.0,6604.0,1.0
mu_movie[36],-6.777,1.055,-8.837,-4.885,0.007,0.005,25198.0,23451.0,25298.0,7131.0,1.0
mu_movie[37],-1.683,1.043,-3.612,0.318,0.007,0.006,25006.0,13968.0,24861.0,7048.0,1.0
mu_movie[38],-4.209,1.22,-6.594,-2.005,0.007,0.006,27331.0,20759.0,27298.0,6293.0,1.0
mu_movie[39],-0.042,1.127,-2.176,2.083,0.007,0.014,24697.0,3138.0,24751.0,6551.0,1.0
mu_movie[40],-2.765,0.956,-4.584,-1.019,0.006,0.005,24219.0,18605.0,24194.0,6373.0,1.0
mu_movie[41],-1.779,1.438,-4.456,0.976,0.009,0.01,24774.0,10886.0,24662.0,6797.0,1.0
mu_movie[42],0.806,1.224,-1.528,3.055,0.007,0.011,26767.0,6022.0,26783.0,6953.0,1.0
mu_movie[43],-6.153,1.065,-8.171,-4.189,0.007,0.005,26551.0,23201.0,26506.0,6495.0,1.0
mu_movie[44],-3.671,1.216,-5.993,-1.459,0.008,0.006,24739.0,19898.0,24827.0,6601.0,1.0
mu_movie[45],-2.13,1.075,-4.103,-0.061,0.008,0.007,19978.0,12267.0,19995.0,6700.0,1.0
