,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[0],0.88,0.717,-0.437,2.242,0.009,0.006,6955.0,6247.0,6963.0,6459.0,1.0
mu_movie[1],-1.369,0.763,-2.751,0.095,0.009,0.007,6573.0,5969.0,6565.0,5874.0,1.0
mu_movie[2],-1.013,0.763,-2.34,0.518,0.01,0.007,5800.0,5800.0,5836.0,6667.0,1.0
mu_movie[3],-1.347,0.815,-2.942,0.126,0.009,0.007,7631.0,7162.0,7642.0,6590.0,1.0
mu_movie[4],-0.847,0.905,-2.599,0.803,0.01,0.008,8070.0,6207.0,8076.0,6388.0,1.0
mu_movie[5],-1.075,0.678,-2.327,0.213,0.01,0.007,4877.0,4877.0,4878.0,5654.0,1.0
mu_movie[6],0.929,0.742,-0.496,2.302,0.01,0.007,6084.0,5237.0,6087.0,6167.0,1.0
mu_movie[7],0.169,0.748,-1.211,1.608,0.009,0.007,6378.0,5001.0,6370.0,6061.0,1.0
mu_movie[8],-0.523,0.817,-2.083,0.995,0.008,0.008,9283.0,5792.0,9296.0,6424.0,1.0
mu_movie[9],0.63,0.69,-0.68,1.912,0.009,0.007,5798.0,5354.0,5792.0,6732.0,1.0
mu_movie[10],1.722,0.743,0.306,3.081,0.01,0.007,5275.0,5096.0,5276.0,5928.0,1.0
mu_movie[11],-2.231,0.721,-3.565,-0.841,0.009,0.007,5910.0,5910.0,5916.0,6786.0,1.0
mu_movie[12],1.015,0.786,-0.462,2.49,0.009,0.007,7983.0,7307.0,7979.0,7011.0,1.0
mu_movie[13],-0.007,0.748,-1.413,1.435,0.009,0.008,7092.0,4518.0,7085.0,6349.0,1.0
mu_movie[14],1.829,0.693,0.516,3.124,0.008,0.006,7012.0,6378.0,7024.0,6739.0,1.0
mu_movie[15],-1.012,1.023,-2.881,0.956,0.01,0.008,11099.0,7388.0,11089.0,7251.0,1.0
mu_movie[16],-2.034,0.73,-3.352,-0.646,0.008,0.006,7585.0,7096.0,7571.0,6403.0,1.0
mu_movie[17],-3.864,0.828,-5.358,-2.255,0.009,0.007,7959.0,7814.0,7969.0,6971.0,1.0
mu_movie[18],1.93,0.91,0.191,3.601,0.01,0.007,8888.0,8463.0,8889.0,6643.0,1.0
mu_movie[19],1.901,0.897,0.213,3.563,0.009,0.007,9086.0,8761.0,9089.0,7029.0,1.0
mu_movie[20],-0.044,0.737,-1.389,1.318,0.01,0.007,5878.0,5193.0,5898.0,6642.0,1.0
mu_movie[21],-0.011,0.674,-1.261,1.27,0.01,0.007,4998.0,4998.0,5019.0,6007.0,1.0
mu_movie[22],-3.717,0.73,-5.076,-2.362,0.009,0.007,6090.0,6044.0,6090.0,6132.0,1.0
mu_movie[23],0.584,0.742,-0.827,1.964,0.009,0.007,7163.0,5654.0,7193.0,7070.0,1.0
mu_movie[24],1.533,0.73,0.128,2.875,0.009,0.006,7245.0,6696.0,7227.0,7014.0,1.0
mu_movie[25],3.991,0.833,2.403,5.481,0.01,0.007,7476.0,7357.0,7477.0,7013.0,1.0
mu_movie[26],0.635,0.696,-0.7,1.906,0.009,0.007,5793.0,5404.0,5788.0,6507.0,1.0
mu_movie[27],1.546,0.841,-0.013,3.148,0.01,0.007,7746.0,7158.0,7753.0,6649.0,1.0
mu_movie[28],2.237,0.798,0.692,3.687,0.009,0.007,7804.0,7094.0,7795.0,7008.0,1.0
mu_movie[29],-1.974,0.633,-3.138,-0.764,0.009,0.007,4811.0,4678.0,4817.0,6477.0,1.0
mu_movie[30],-0.677,0.745,-2.097,0.691,0.009,0.007,7554.0,6002.0,7578.0,6564.0,1.0
mu_movie[31],3.216,1.03,1.299,5.206,0.01,0.007,11422.0,10536.0,11415.0,6829.0,1.0
mu_movie[32],1.163,0.714,-0.199,2.483,0.009,0.006,6337.0,6337.0,6340.0,6597.0,1.0
mu_movie[33],-1.099,0.742,-2.466,0.318,0.01,0.007,6069.0,5933.0,6096.0,6885.0,1.0
mu_movie[34],1.09,0.729,-0.316,2.43,0.009,0.007,6203.0,5393.0,6216.0,5752.0,1.0
mu_movie[35],1.511,0.783,0.062,2.977,0.009,0.007,8073.0,6962.0,8083.0,6406.0,1.0
mu_movie[36],0.092,0.677,-1.195,1.333,0.009,0.007,6161.0,4877.0,6168.0,6858.0,1.0
mu_movie[37],1.917,0.686,0.688,3.25,0.009,0.007,5275.0,5275.0,5276.0,6236.0,1.0
mu_movie[38],0.053,0.767,-1.428,1.457,0.01,0.008,6190.0,4381.0,6202.0,6517.0,1.0
mu_movie[39],4.525,0.694,3.258,5.851,0.008,0.006,6923.0,6923.0,6933.0,6817.0,1.0
mu_movie[40],-0.287,0.63,-1.458,0.933,0.009,0.007,4677.0,4677.0,4684.0,5990.0,1.0
mu_movie[41],0.959,0.873,-0.582,2.673,0.009,0.007,9846.0,7234.0,9861.0,7002.0,1.0
mu_movie[42],1.233,0.764,-0.164,2.705,0.01,0.007,6022.0,5645.0,6010.0,6168.0,1.0
mu_movie[43],-1.424,0.681,-2.733,-0.159,0.009,0.006,5994.0,5770.0,5998.0,6604.0,1.0
mu_movie[44],1.095,0.739,-0.367,2.431,0.009,0.006,7366.0,6864.0,7353.0,6968.0,1.0
mu_movie[45],1.788,0.679,0.485,3.042,0.009,0.007,5247.0,5101.0,5246.0,6727.0,1.0
mu_movie[46],-1.273,0.731,-2.629,0.095,0.009,0.007,6146.0,6146.0,6141.0,6501.0,1.0
mu_movie[47],-1.662,0.735,-3.097,-0.351,0.01,0.007,5676.0,5673.0,5674.0,6177.0,1.0
mu_movie[48],-2.199,0.759,-3.622,-0.752,0.009,0.006,7914.0,7773.0,7918.0,7152.0,1.0
mu_movie[49],-0.158,0.638,-1.4,0.998,0.009,0.007,4540.0,4540.0,4539.0,6733.0,1.0
mu_movie[50],1.894,0.748,0.514,3.345,0.009,0.007,6711.0,6491.0,6688.0,6421.0,1.0
mu_movie[51],-0.131,0.814,-1.694,1.366,0.009,0.009,8591.0,4473.0,8593.0,6544.0,1.0
mu_movie[52],-0.825,0.741,-2.242,0.549,0.01,0.007,5618.0,5618.0,5611.0,6653.0,1.0
mu_movie[53],0.14,0.707,-1.235,1.425,0.008,0.007,7322.0,4935.0,7303.0,5894.0,1.0
mu_movie[54],0.958,0.691,-0.34,2.234,0.009,0.007,5760.0,5478.0,5746.0,5968.0,1.0
mu_movie[55],1.568,0.928,-0.152,3.306,0.01,0.008,8176.0,7092.0,8173.0,6281.0,1.0
mu_movie[56],-1.546,0.717,-2.929,-0.237,0.01,0.007,5411.0,5375.0,5407.0,5862.0,1.0
mu_movie[57],0.08,0.7,-1.239,1.392,0.01,0.007,5303.0,5065.0,5303.0,6269.0,1.0
mu_movie[58],0.424,0.69,-0.896,1.676,0.009,0.007,5398.0,5398.0,5402.0,6510.0,1.0
mu_movie[59],-1.361,0.66,-2.617,-0.13,0.009,0.007,5047.0,5047.0,5053.0,6612.0,1.0
mu_movie[60],2.34,0.754,0.892,3.732,0.009,0.007,6354.0,6334.0,6359.0,6676.0,1.0
mu_movie[61],-0.558,0.763,-1.948,0.894,0.009,0.007,7114.0,5803.0,7113.0,6834.0,1.0
mu_movie[62],-1.167,0.699,-2.484,0.145,0.01,0.007,5207.0,5207.0,5214.0,5918.0,1.0
mu_movie[63],-1.844,0.729,-3.214,-0.5,0.009,0.007,6309.0,6121.0,6312.0,6727.0,1.0
mu_movie[64],1.276,0.67,0.065,2.587,0.009,0.006,5384.0,5384.0,5375.0,7390.0,1.0
mu_movie[65],-0.379,0.846,-1.981,1.208,0.01,0.008,7759.0,5170.0,7775.0,6284.0,1.0
mu_movie[66],1.714,0.835,0.15,3.31,0.009,0.007,7908.0,7261.0,7919.0,6741.0,1.0
mu_movie[67],-0.945,0.712,-2.315,0.347,0.009,0.007,5751.0,5751.0,5743.0,6634.0,1.0
mu_movie[68],5.691,0.818,4.19,7.265,0.01,0.007,7293.0,7293.0,7288.0,6810.0,1.0
mu_movie[69],2.454,0.879,0.858,4.151,0.009,0.007,9753.0,8917.0,9720.0,7140.0,1.0
mu_movie[70],-0.773,0.848,-2.387,0.755,0.009,0.008,8109.0,6064.0,8111.0,7349.0,1.0
mu_movie[71],0.05,0.758,-1.39,1.437,0.008,0.008,8241.0,4760.0,8230.0,7199.0,1.0
mu_movie[72],0.465,0.868,-1.163,2.058,0.01,0.008,8326.0,5275.0,8321.0,6539.0,1.0
mu_movie[73],1.686,0.899,0.04,3.428,0.01,0.007,7937.0,7937.0,7950.0,5975.0,1.0
mu_movie[74],-0.095,0.792,-1.605,1.378,0.009,0.009,7022.0,3999.0,7029.0,5642.0,1.0
mu_movie[75],-1.757,0.85,-3.389,-0.206,0.009,0.007,8136.0,7604.0,8142.0,6825.0,1.0
mu_movie[76],1.081,0.778,-0.293,2.65,0.009,0.007,6862.0,5533.0,6852.0,7196.0,1.0
mu_movie[77],0.831,0.654,-0.416,2.025,0.008,0.006,6067.0,5890.0,6055.0,6389.0,1.0
mu_movie[78],-5.333,0.75,-6.706,-3.883,0.009,0.006,7206.0,7206.0,7208.0,6630.0,1.0
mu_movie[79],-1.738,0.69,-3.026,-0.45,0.009,0.006,6442.0,6350.0,6431.0,6388.0,1.0
mu_movie[80],3.068,0.687,1.829,4.391,0.009,0.007,5608.0,5507.0,5616.0,6963.0,1.0
mu_movie[81],-0.721,0.725,-2.093,0.633,0.009,0.007,6160.0,5973.0,6163.0,6204.0,1.0
mu_movie[82],1.492,0.75,0.077,2.846,0.01,0.007,5906.0,5532.0,5909.0,6237.0,1.0
mu_movie[83],2.031,0.793,0.622,3.609,0.01,0.007,6230.0,5905.0,6237.0,6728.0,1.0
mu_movie[84],0.997,0.784,-0.469,2.486,0.01,0.007,6438.0,5788.0,6439.0,6345.0,1.0
mu_movie[85],-0.013,0.806,-1.598,1.404,0.009,0.009,7201.0,4249.0,7215.0,6731.0,1.0
mu_movie[86],-0.036,0.775,-1.495,1.411,0.009,0.008,7572.0,5033.0,7566.0,6380.0,1.0
mu_movie[87],0.54,0.82,-1.027,2.035,0.01,0.008,7329.0,5566.0,7320.0,6827.0,1.0
mu_movie[88],-1.451,0.92,-3.153,0.26,0.009,0.007,10117.0,7889.0,10121.0,6750.0,1.0
mu_movie[89],0.817,0.694,-0.477,2.108,0.009,0.007,5511.0,5473.0,5514.0,5856.0,1.0
