,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[146],-0.038,1.018,-1.939,1.878,0.015,0.011,4580.0,4580.0,4581.0,6090.0,1.0
mu_movie[147],1.35,0.964,-0.372,3.274,0.013,0.01,5139.0,4712.0,5125.0,6286.0,1.0
mu_movie[148],-2.646,0.955,-4.444,-0.862,0.014,0.01,4962.0,4962.0,4964.0,6147.0,1.0
mu_movie[149],-1.498,0.969,-3.307,0.289,0.013,0.009,5293.0,5293.0,5292.0,6910.0,1.0
mu_movie[150],1.031,1.03,-1.028,2.83,0.015,0.011,4636.0,4636.0,4649.0,5725.0,1.0
mu_movie[151],-2.131,1.197,-4.356,0.166,0.014,0.01,7231.0,6822.0,7217.0,6438.0,1.0
mu_movie[152],3.607,0.993,1.81,5.559,0.012,0.009,6629.0,6573.0,6632.0,6179.0,1.0
mu_movie[153],-1.601,0.943,-3.4,0.137,0.014,0.01,4408.0,4331.0,4408.0,5392.0,1.0
mu_movie[154],-2.788,1.068,-4.854,-0.862,0.013,0.01,6289.0,6170.0,6293.0,6185.0,1.0
mu_movie[155],4.437,0.969,2.62,6.238,0.014,0.01,5012.0,4972.0,5014.0,5781.0,1.0
mu_movie[156],-1.158,0.981,-2.978,0.695,0.014,0.01,4917.0,4909.0,4912.0,5755.0,1.0
mu_movie[157],-0.069,0.952,-1.857,1.684,0.013,0.01,5584.0,4586.0,5584.0,6046.0,1.0
mu_movie[158],3.597,0.873,2.012,5.311,0.013,0.009,4393.0,4393.0,4399.0,5925.0,1.0
mu_movie[159],-2.978,0.958,-4.796,-1.207,0.014,0.01,4704.0,4704.0,4715.0,5938.0,1.0
mu_movie[160],0.809,0.941,-1.001,2.54,0.013,0.009,5402.0,5146.0,5411.0,6193.0,1.0
mu_movie[161],2.62,1.002,0.755,4.521,0.015,0.01,4615.0,4586.0,4625.0,5930.0,1.0
mu_movie[162],-2.086,0.977,-3.937,-0.291,0.013,0.009,5882.0,5882.0,5893.0,6181.0,1.0
mu_movie[163],-1.749,1.624,-4.758,1.321,0.015,0.013,12150.0,7303.0,12162.0,6742.0,1.0
mu_movie[164],-0.716,1.108,-2.743,1.384,0.015,0.011,5722.0,5310.0,5725.0,6097.0,1.0
mu_movie[165],-0.482,1.084,-2.453,1.583,0.012,0.011,7848.0,4940.0,7858.0,6898.0,1.0
mu_movie[166],0.922,1.084,-1.086,2.997,0.014,0.01,6124.0,5403.0,6105.0,6631.0,1.0
mu_movie[167],-0.051,0.992,-1.911,1.825,0.014,0.01,5380.0,5374.0,5387.0,6734.0,1.0
mu_movie[168],-0.295,0.936,-2.011,1.52,0.013,0.009,4892.0,4892.0,4896.0,6358.0,1.0
mu_movie[169],0.988,0.977,-0.807,2.848,0.014,0.01,4626.0,4626.0,4629.0,5753.0,1.0
mu_movie[170],1.107,0.928,-0.568,2.917,0.013,0.009,4786.0,4786.0,4793.0,6508.0,1.0
mu_movie[171],-0.411,0.942,-2.123,1.401,0.015,0.01,4203.0,4203.0,4193.0,5856.0,1.0
mu_movie[172],1.055,0.955,-0.709,2.873,0.013,0.01,5246.0,4914.0,5242.0,6320.0,1.0
mu_movie[173],0.819,1.105,-1.334,2.784,0.014,0.011,6279.0,5455.0,6281.0,6172.0,1.0
mu_movie[174],-1.419,0.995,-3.225,0.543,0.015,0.01,4654.0,4654.0,4662.0,5891.0,1.0
mu_movie[175],-0.75,1.001,-2.731,1.023,0.015,0.01,4548.0,4548.0,4550.0,5850.0,1.0
mu_movie[176],-3.808,0.931,-5.57,-2.061,0.013,0.009,5183.0,5156.0,5181.0,6320.0,1.0
mu_movie[177],1.761,0.889,0.123,3.456,0.012,0.009,5364.0,5332.0,5375.0,6212.0,1.0
mu_movie[178],-0.5,0.899,-2.196,1.18,0.012,0.009,5299.0,4962.0,5305.0,6914.0,1.0
mu_movie[179],2.097,0.852,0.521,3.713,0.014,0.01,3524.0,3524.0,3527.0,5555.0,1.0
mu_movie[180],-2.183,0.957,-3.878,-0.312,0.013,0.009,5280.0,5280.0,5273.0,6285.0,1.0
mu_movie[181],-3.948,0.972,-5.77,-2.108,0.014,0.01,4759.0,4759.0,4756.0,5812.0,1.0
mu_movie[182],-1.302,1.008,-3.161,0.608,0.013,0.009,5935.0,5638.0,5923.0,6628.0,1.0
mu_movie[183],1.851,1.013,-0.096,3.694,0.013,0.009,6031.0,5961.0,6040.0,6004.0,1.0
mu_movie[184],-1.905,0.991,-3.749,-0.026,0.013,0.009,5587.0,5499.0,5590.0,6148.0,1.0
mu_movie[185],0.605,0.933,-1.15,2.347,0.014,0.01,4524.0,4524.0,4514.0,5551.0,1.0
mu_movie[186],2.65,0.962,0.842,4.478,0.014,0.01,4989.0,4856.0,4991.0,6097.0,1.0
mu_movie[187],-0.46,1.044,-2.477,1.442,0.013,0.01,6378.0,4960.0,6383.0,5834.0,1.0
mu_movie[188],0.845,1.171,-1.392,3.043,0.013,0.011,8620.0,5431.0,8628.0,6283.0,1.0
mu_movie[189],-0.216,0.93,-1.963,1.516,0.012,0.01,5653.0,4418.0,5649.0,5959.0,1.0
mu_movie[190],-2.285,1.05,-4.244,-0.327,0.012,0.009,7133.0,6628.0,7171.0,6554.0,1.0
mu_movie[191],-0.553,0.824,-2.048,1.027,0.014,0.01,3351.0,3351.0,3349.0,5362.0,1.0
mu_movie[192],0.764,1.051,-1.366,2.621,0.012,0.01,7107.0,5329.0,7093.0,6461.0,1.0
mu_movie[193],1.972,0.928,0.223,3.703,0.013,0.009,5106.0,4892.0,5105.0,6569.0,1.0
mu_movie[194],-1.669,0.878,-3.271,0.035,0.013,0.009,4434.0,4346.0,4441.0,5601.0,1.0
mu_movie[195],-0.65,1.085,-2.66,1.401,0.013,0.011,6849.0,4837.0,6854.0,6677.0,1.0
mu_movie[196],-3.047,0.909,-4.759,-1.331,0.013,0.009,4660.0,4660.0,4660.0,6327.0,1.0
mu_movie[197],1.887,0.887,0.18,3.493,0.014,0.01,4155.0,4155.0,4158.0,5292.0,1.0
mu_movie[198],-2.085,1.149,-4.291,-0.006,0.014,0.01,6540.0,6261.0,6526.0,6044.0,1.0
mu_movie[199],0.071,1.349,-2.605,2.491,0.015,0.014,8564.0,4740.0,8586.0,6299.0,1.0
mu_person[0],-3.178,0.679,-4.43,-1.864,0.023,0.016,873.0,848.0,881.0,1374.0,1.0
mu_person[1],2.847,0.655,1.7,4.189,0.023,0.016,838.0,838.0,844.0,1449.0,1.0
mu_person[2],0.282,0.649,-0.976,1.458,0.023,0.016,830.0,830.0,836.0,1352.0,1.0
mu_person[3],3.765,0.666,2.467,4.984,0.023,0.016,833.0,833.0,840.0,1317.0,1.0
mu_person[4],3.249,0.654,2.008,4.457,0.023,0.016,834.0,834.0,841.0,1170.0,1.0
mu_person[5],-2.662,0.665,-3.938,-1.416,0.023,0.017,834.0,813.0,840.0,1179.0,1.0
mu_person[6],-4.55,0.658,-5.827,-3.363,0.023,0.017,811.0,789.0,820.0,1162.0,1.0
mu_person[7],-4.227,0.696,-5.532,-2.924,0.023,0.017,910.0,884.0,918.0,1269.0,1.0
mu_person[8],-7.273,0.662,-8.517,-6.034,0.023,0.017,810.0,800.0,818.0,1206.0,1.0
mu_person[9],1.838,0.658,0.577,3.071,0.023,0.016,829.0,829.0,835.0,1335.0,1.0
mu_person[10],1.34,0.642,0.087,2.5,0.023,0.016,803.0,803.0,810.0,1203.0,1.0
mu_person[11],-3.002,0.651,-4.224,-1.776,0.023,0.016,811.0,787.0,818.0,1197.0,1.0
mu_person[12],-0.205,0.649,-1.385,1.054,0.023,0.016,828.0,828.0,834.0,1332.0,1.0
mu_person[13],-1.038,0.668,-2.303,0.217,0.023,0.016,840.0,823.0,846.0,1327.0,1.0
mu_person[14],-3.728,0.658,-5.025,-2.539,0.023,0.016,831.0,810.0,838.0,1403.0,1.0
