,Unnamed: 0,mean
176,mu_movie[176],-3.798
177,mu_movie[177],1.766
178,mu_movie[178],-0.48
179,mu_movie[179],2.07
180,mu_movie[180],-2.178
181,mu_movie[181],-3.969
182,mu_movie[182],-1.294
183,mu_movie[183],1.8659999999999999
184,mu_movie[184],-1.885
185,mu_movie[185],0.586
186,mu_movie[186],2.6519999999999997
187,mu_movie[187],-0.48200000000000004
188,mu_movie[188],0.883
189,mu_movie[189],-0.19399999999999998
190,mu_movie[190],-2.2769999999999997
191,mu_movie[191],-0.573
192,mu_movie[192],0.7909999999999999
193,mu_movie[193],1.9680000000000002
194,mu_movie[194],-1.71
195,mu_movie[195],-0.649
196,mu_movie[196],-3.0810000000000004
197,mu_movie[197],1.859
198,mu_movie[198],-2.097
199,mu_movie[199],0.079
