,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[54],1.741,0.889,0.059,3.396,0.014,0.01,4121.0,4121.0,4113.0,5991.0,1.0
mu_movie[55],1.383,1.205,-0.819,3.732,0.015,0.012,6518.0,5458.0,6515.0,6365.0,1.0
mu_movie[56],-2.599,0.971,-4.329,-0.683,0.015,0.011,4226.0,4217.0,4231.0,5357.0,1.0
mu_movie[57],0.395,0.941,-1.398,2.132,0.015,0.01,4197.0,4197.0,4196.0,5453.0,1.0
mu_movie[58],1.002,0.916,-0.795,2.623,0.015,0.011,3677.0,3677.0,3669.0,5744.0,1.0
mu_movie[59],-1.303,0.882,-2.913,0.381,0.014,0.01,3892.0,3892.0,3890.0,5886.0,1.0
mu_movie[60],2.302,0.987,0.467,4.22,0.013,0.009,5900.0,5672.0,5909.0,6320.0,1.0
mu_movie[61],-0.249,0.989,-2.109,1.597,0.013,0.01,5506.0,4584.0,5546.0,5993.0,1.0
mu_movie[62],-1.156,0.909,-2.779,0.613,0.014,0.01,4027.0,4027.0,4019.0,5321.0,1.0
mu_movie[63],-1.61,0.967,-3.444,0.164,0.014,0.01,4969.0,4969.0,4965.0,5885.0,1.0
mu_movie[64],0.235,0.892,-1.402,1.942,0.014,0.01,3819.0,3819.0,3818.0,5533.0,1.0
mu_movie[65],0.747,1.115,-1.317,2.836,0.015,0.011,5382.0,4863.0,5395.0,5870.0,1.0
mu_movie[66],2.061,1.107,-0.026,4.112,0.014,0.01,6332.0,6332.0,6334.0,6350.0,1.0
mu_movie[67],-0.866,0.946,-2.631,0.897,0.015,0.011,3950.0,3950.0,3945.0,5603.0,1.0
mu_movie[68],6.331,1.101,4.171,8.283,0.014,0.01,5866.0,5835.0,5861.0,6043.0,1.0
mu_movie[69],2.632,1.173,0.455,4.818,0.013,0.009,8170.0,7785.0,8165.0,7177.0,1.0
